lwaist,pelvis,right_thigh,right_shin,right_foot,left_thigh,left_shin,left_foot,right_upper_arm,right_lower_arm,left_upper_arm,left_lower_arm
"(0.0, -0.0019999986666669324, 0.0, 0.9999980000006667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, 0.0, 0.0, 1.0)","(0.0, 0.0, 0.0, 1.0)","(0.0, 0.0, 0.0, 1.0)","(0.0, 0.0, 0.0, 1.0)"
"(0.0, -0.0019999986666669324, 0.0, 0.9999980000006667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, -0.003999989333341865, 0.0, 0.9999920000106667)","(0.0, 0.0, 0.0, 1.0)","(0.0, 0.0, 0.0, 1.0)","(0.0, 0.0, 0.0, 1.0)","(0.0, 0.0, 0.0, 1.0)"
